Category,Food name en_GB,Food name en_US,Food name en_CA,Food name en_AU,Food name en_NZ,Food name en_IE,Overall status,Small portion desc,Large portion desc,Small portion oligos,Small portion fructose,Small portion polyols,Small portion lactose,Large portion oligos,Large portion fructose,Large portion polyols,Large portion lactose,Notes
drinks,"Coffee (instant\\\\, decaf with soy bean milk)","Coffee (instant\\\\, decaf with soy bean milk)","Coffee (instant\\\\, decaf with soy bean milk)","Coffee (instant\\\\, decaf with soy bean milk)","Coffee (instant\\\\, decaf with soy bean milk)","Coffee (instant\\\\, decaf with soy bean milk)",high,One heaped teaspoon with 100ml milk (102g),Two heaped teaspoons with 100ml milk (104g),high,low,low,low,high,low,low,low,
drinks,"Coffee (instant\\\\, decaf\\\\, black)","Coffee (instant\\\\, decaf\\\\, black)","Coffee (instant\\\\, decaf\\\\, black)","Coffee (instant\\\\, decaf\\\\, black)","Coffee (instant\\\\, decaf\\\\, black)","Coffee (instant\\\\, decaf\\\\, black)",low,One heaped teaspoon (2g),Two heaped teaspoons (4g),low,low,low,low,low,low,low,low,
condiments,Coriander (fresh),Coriander (fresh),Coriander (fresh),Coriander (fresh),Coriander (fresh),Coriander (fresh),low,Half a cup (8g),One cup (16g),low,low,low,low,low,low,low,low,
condiments,Coriander seeds,Coriander seeds,Coriander seeds,Coriander seeds,Coriander seeds,Coriander seeds,low,Half a teaspoon (1g),One teaspoon (2g),low,low,low,low,low,low,low,low,
bread_cereal_rice_pasta,Corn flakes,Corn flakes,Corn flakes,Corn flakes,Corn flakes,Corn flakes,medium,Half a cup (15g),One cup (30g),low,low,low,low,medium,low,low,low,
bread_cereal_rice_pasta,Corn flakes (gluten free),Corn flakes (gluten free),Corn flakes (gluten free),Corn flakes (gluten free),Corn flakes (gluten free),Corn flakes (gluten free),low,Half a cup (25g),One cup (50g),low,low,low,low,low,low,low,low,
bread_cereal_rice_pasta,Corn flour,Corn flour,Corn flour,Corn flour,Corn flour,Corn flour,low,Two thirds of a cup (100g),n/a,low,low,low,low,n/a,n/a,n/a,n/a,Make sure no high FODMAP ingredients have been added to flour mix
bread_cereal_rice_pasta,Corn starch flour,Corn starch flour,Corn starch flour,Corn starch flour,Corn starch flour,Corn starch flour,low,Two thirds of a cup (100g),n/a,low,low,low,low,n/a,n/a,n/a,n/a,
snacks,Corn thins (plain),Corn thins (plain),Corn thins (plain),Corn thins (plain),Corn thins (plain),Corn thins (plain),medium,One biscuit (12g),Two biscuits (24g),low,low,low,low,medium,low,low,low,
snacks,Corn thins (sour cream and chive flavour),Corn thins (sour cream and chive flavour),Corn thins (sour cream and chive flavour),Corn thins (sour cream and chive flavour),Corn thins (sour cream and chive flavour),Corn thins (sour cream and chive flavour),high,One biscuit (12g),Two biscuits (24g),low,low,low,low,high,low,low,low,
bread_cereal_rice_pasta,Cornbread,Cornbread,Cornbread,Cornbread,Cornbread,Cornbread,low,One slice (35g),Two slices (70g),low,low,low,low,low,low,low,low,Larger servings (200g or more) should be avoided
vegetables,Courgette (zucchini),Zucchini (courgette),Zucchini (courgette),Zucchini (courgette),Courgette (zucchini),Courgette (zucchini),low,Quarter of a cup (33g),Half a cup (66g),low,low,low,low,low,low,low,low,Larger servings (70g or more) should be avoided
bread_cereal_rice_pasta,Couscous (rice & corn),Couscous (rice & corn),Couscous (rice & corn),Couscous (rice & corn),Couscous (rice & corn),Couscous (rice & corn),high,Quarter of a cup (37g),Half a cup (77g),low,low,low,low,high,low,low,low,
bread_cereal_rice_pasta,Couscous (wheat),Couscous (wheat),Couscous (wheat),Couscous (wheat),Couscous (wheat),Couscous (wheat),high,Half a cup (77g),One cup (154g),high,low,low,low,high,low,low,low,
fruit,Cranberries (dried),Cranberries (dried),Cranberries (dried),Cranberries (dried),Cranberries (dried),Cranberries (dried),medium,One tablespoon (13g),Two tablespoons (26g),low,low,low,low,medium,low,low,low,
drinks,Cranberry juice,Cranberry juice,Cranberry juice,Cranberry juice,Cranberry juice,Cranberry juice,low,Half a glass - 125ml (105g),One glass - 250ml (210g),low,low,low,low,low,low,low,low,
dairy,Cream (regular fat),Cream (regular fat),Cream (regular fat),Cream (regular fat),Cream (regular fat),Cream (regular fat),medium,Quarter of a cup / 60ml (63g),Half a cup / 125ml (126g),low,low,low,medium,low,low,low,medium,
dairy,Cream (sour),Cream (sour),Cream (sour),Cream (sour),Cream (sour),Cream (sour),medium,Quarter of a cup / 60ml (63g),Half a cup / 125ml (126g),low,low,low,medium,low,low,low,medium,
dairy,"Cream (thickened\\\\, regular fat)","Cream (thickened\\\\, regular fat)","Cream (thickened\\\\, regular fat)","Cream (thickened\\\\, regular fat)","Cream (thickened\\\\, regular fat)","Cream (thickened\\\\, regular fat)",medium,Quarter of a cup / 60ml (63g),Half a cup / 125ml (126g),low,low,low,medium,low,low,low,medium,
dairy,Cream (whipped),Cream (whipped),Cream (whipped),Cream (whipped),Cream (whipped),Cream (whipped),low,Quarter of a cup / 60ml (30g),Half a cup / 125ml (60g),low,low,low,low,low,low,low,low,
snacks,Crisps (plain),Potato chips (plain),Potato chips (plain),Potato chips (plain),Crisps (plain),Crisps (plain),low,Half a small packet (15g),One small packet (30g),low,low,low,low,low,low,low,low,
snacks,Crisps (salted potato straws),Potato chip straws (plain),Potato chip straws (plain),Potato chip straws (plain),Crisps (salted potato straws),Crisps (salted potato straws),low,Half a small packet (11g),One small packet (22g),low,low,low,low,low,low,low,low,Larger servings (40g or more) should be avoided
vegetables,Cucumber,Cucumber,Cucumber,Cucumber,Cucumber,Cucumber,low,Quarter of a cup (32g),Half a cup (64g),low,low,low,low,low,low,low,low,
condiments,Cumin,Cumin,Cumin,Cumin,Cumin,Cumin,low,Half a teaspoon (1g),One teaspoon (2g),low,low,low,low,low,low,low,low,
fruit,Currants,Currants,Currants,Currants,Currants,Currants,high,One tablespoon (13g),Two tablespoons (26g),low,low,low,low,high,low,low,low,
condiments,Curry leaves (fresh),Curry leaves (fresh),Curry leaves (fresh),Curry leaves (fresh),Curry leaves (fresh),Curry leaves (fresh),low,Half a cup (4g),One cup (8g),low,low,low,low,low,low,low,low,
condiments,Curry powder,Curry powder,Curry powder,Curry powder,Curry powder,Curry powder,low,Half a teaspoon (1g),One teaspoon (2g),low,low,low,low,low,low,low,low,
dairy,Custard,Custard,Custard,Custard,Custard,Custard,high,Half a cup / 125ml (140g),One cup / 250ml (280g),low,low,low,high,low,low,low,high,
fruit,Custard apple (sugar apple),Custard apple (sugar apple),Custard apple (sugar apple),Custard apple (sugar apple),Custard apple (sugar apple),Custard apple (sugar apple),high,Quarter of a cup (63g),Half a cup (125g),high,low,low,low,high,low,low,low,
vegetables,"Daikon (mooli\\\\, white winter radish)",Daikon (white winter radish),Daikon (white winter radish),Daikon (white winter radish),Daikon (white winter radish),Daikon (white winter radish),low,Half a cup (70g),One cup (140g),low,low,low,low,low,low,low,low,Larger servings (350g or more) should be avoided
